edge_id,node_u,node_v,path_length_original_voxels,euclidean_length_original_voxels,tortuosity,orientation_z,orientation_y,orientation_x,path_sample_count,boundary_contact,original_skan_branch_ids,retained_after_pruning
14599,3088,3277,43.412026688796054,39.7994974842648,1.090768211482055,0.7035264706814485,0.10050378152592121,0.7035264706814485,8,False,26370;27094,True
14600,3089,3266,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,-0.7071067811865475,0.0,9,False,26373;27610,True
14601,3089,3274,43.59797974644667,42.5205832509386,1.025338234171195,0.658504607868518,0.0,-0.7525766947068778,9,False,26374;27091,True
14602,3089,3275,45.254833995939045,42.708313008125245,1.059625885652035,0.6556100681071858,-0.0936585811581694,0.7492686492653552,9,False,26375;27080,True
14603,3089,3246,44.86932872722979,42.708313008125245,1.0505994165279582,0.6556100681071858,0.7492686492653552,-0.0936585811581694,9,False,26376;27113,True
14604,3090,6235,18.24191172926027,17.435595774162696,1.0462453916425631,-0.6882472016116852,-0.6882472016116852,-0.22941573387056174,4,False,25463;25921,True
14605,3090,3093,43.59797974644667,42.5205832509386,1.025338234171195,0.0,0.7525766947068778,0.658504607868518,9,False,25525;25942,True
14606,3090,3245,46.52618297672217,45.43126676640219,1.024100499243171,0.7043607250604991,-0.08804509063256238,0.7043607250604991,9,False,26387;26388;27083,True
14607,3090,6448,35.21247447773741,34.17601498127012,1.0303271021222138,0.7022468831767834,0.7022468831767834,-0.11704114719613057,7,False,26388,True
14608,3091,3215,46.52618297672217,45.43126676640219,1.024100499243171,0.08804509063256238,-0.7043607250604991,-0.7043607250604991,9,False,25918;25919;26353,True
14609,3091,3220,46.52618297672217,45.43126676640219,1.024100499243171,0.08804509063256238,0.7043607250604991,0.7043607250604991,9,False,25932;26394,True
14610,3091,6347,22.627416997969522,22.627416997969522,1.0,0.0,0.7071067811865475,-0.7071067811865475,5,False,26391;26392,True
14611,3091,3271,46.140677708012916,43.266615305567875,1.0664267907749925,0.647150228929434,-0.7396002616336388,-0.1849000654084097,9,False,26880;26881;27070,True
14612,3091,3272,46.52618297672217,42.5205832509386,1.0942037813109053,0.7525766947068778,0.0,0.658504607868518,9,False,26881,True
